1,Two Pointers - Converging (Sorted Array Target Sum),1
2,Two Pointers - Fast & Slow (Cycle Detection),1
3,Two Pointers - Fixed Separation (Nth Node from End),1
4,Two Pointers - In-place Array Modification,1
5,Two Pointers - String Comparison with Backspaces,1
6,Two Pointers - Expanding From Center (Palindromes),1
7,Two Pointers - String Reversal,1
8,Sliding Window - Fixed Size (Subarray Calculation),2
9,Sliding Window - Variable Size (Condition-Based),2
10,Sliding Window - Monotonic Queue for Max/Min,2
11,Sliding Window - Character Frequency Matching,2
12,Tree BFS - Level Order Traversal,3
13,Tree DFS - Recursive Preorder Traversal,3
14,Tree DFS - Recursive Inorder Traversal,3
15,Tree DFS - Recursive Postorder Traversal,3
16,Tree - Lowest Common Ancestor (LCA) Finding,3
17,Tree - Serialization and Deserialization,3
18,Graph DFS - Connected Components / Island Counting,4
19,Graph BFS - Connected Components / Island Counting,4
20,Graph DFS - Cycle Detection (Directed Graph),4
21,Graph BFS - Topological Sort (Kahn's Algorithm),4
22,Graph - Deep Copy / Cloning,4
23,Graph - Shortest Path (Dijkstra's Algorithm),4
24,Graph - Shortest Path (Bellman-Ford / BFS+K),4
25,Graph - Union-Find (Disjoint Set Union - DSU),4
26,Strongly Connected Components (Kosaraju / Tarjan),4
27,Bridges & Articulation Points (Tarjan low-link),4
28,Minimum Spanning Tree (Kruskal / Prim / DSU + heap),4
29,Bidirectional BFS (BFS optimization for known source & target,4
30,DP - 1D Array (Fibonacci Style),5
31,DP - 1D Array (Kadane's Algorithm for Max/Min Subarray),5
32,Pattern 32 DP - 1D Array (Coin Change / Unbounded Knapsack Style),5
33,DP - 1D Array (0/1 Knapsack Subset Sum Style),5
34,DP - 1D Array (Word Break Style),5
35,DP - 2D Array (Longest Common Subsequence - LCS),5
36,DP - 2D Array (Edit Distance / Levenshtein Distance),5
37,DP - 2D Array (Unique Paths on Grid),5
38,DP - Interval DP,5
39,DP - Catalan Numbers,5
40,DP - Longest Increasing Subsequence (LIS),5
41,DP - Stock problems,5
42,Heap - Top K Elements (Selection/Frequency),6
43,Heap - Two Heaps for Median Finding,6
44,Heap - K-way Merge,6
45,Heap - Scheduling / Minimum Cost (Greedy with Priority Queue),6
46,Backtracking - Subsets (Include/Exclude),7
47,Backtracking - Permutations,7
48,Backtracking - Combination Sum,7
49,Backtracking - Parentheses Generation,7
50,Backtracking - Word Search / Path Finding in Grid,7
51,Backtracking - N-Queens / Constraint Satisfaction,7
52,Backtracking - Palindrome Partitioning,7
53,Greedy - Interval Merging/Scheduling,8
54,Greedy - Jump Game Reachability/Minimization,8
55,Greedy - Buy/Sell Stock,8
56,Greedy - Gas Station Circuit,8
57,Greedy - Task Scheduling (Frequency Based),8
58,Greedy - Sorting Based,8
59,Binary Search - On Sorted Array/List,9
60,Binary Search - Find Min/Max in Rotated Sorted Array,9
61,Binary Search - On Answer / Condition Function,9
62,Binary Search - Find First/Last Occurrence,9
63,Binary Search - Median / Kth across Two Sorted Arrays,9
64,Stack - Valid Parentheses Matching,10
65,Stack - Monotonic Stack,10
66,Stack - Expression Evaluation (RPN/Infix),10
67,Stack - Simulation / Backtracking Helper,10
68,Stack - Min Stack Design,10
69,Stack - Largest Rectangle in Histogram,10
70,Bitwise XOR - Finding Single/Missing Number,11
71,Bitwise AND - Counting Set Bits (Hamming Weight),11
72,Bitwise DP - Counting Bits Optimization,11
73,Bitwise Operations - Power of Two/Four Check,11
74,Linked List - In-place Reversal,12
75,Linked List - Merging Two Sorted Lists,12
76,Linked List - Addition of Numbers,12
77,Linked List - Intersection Detection,12
78,Linked List - Reordering / Partitioning,12
79,Array/Matrix - In-place Rotation,13
80,Array/Matrix - Spiral Traversal,13
81,Array/Matrix - Set Matrix Zeroes (In-place Marking),13
82,Array - Product Except Self (Prefix/Suffix Products),13
83,Array - Plus One (Handling Carry),13
84,Array - Merge Sorted Array (In-place from End),13
85,Array - Cyclic Sort,13
86,String - Palindrome Check (Two Pointers / Reverse),14
87,String - Anagram Check (Frequency Count/Sort),14
88,String - Roman to Integer Conversion,14
89,String - String to Integer (atoi),14
90,String - Multiply Strings (Manual Simulation),14
91,String Matching - Naive / KMP / Rabin-Karp,14
92,String - Repeated Substring Pattern Detection,14
93,Design (General/Specific),15
94,Pattern 94. Tries,15
