4,4Sum,,f,,1
64,TwoSum,https://leetcode.com/problems/two-sum/description/,f,,11
174,Delete and Earn,https://leetcode.com/problems/delete-and-earn/description/,t,,30
176,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/?envType=problem-list-v2&envId=vg00mwqm&,t,,31
177,Maximum Sum Circular Subarray,https://leetcode.com/problems/maximum-sum-circular-subarray/description/?envType=problem-list-v2&envId=vg00mwqm&,t,,31
5,Two Sum II - Input Array Is Sorted,,f,,1
6,Intersection of Two Arrays,,f,,1
61,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/,f,,10
175,Min Cost Climbing Stairs,https://leetcode.com/problems/min-cost-climbing-stairs/description/,t,,30
111,01 Matrix,https://leetcode.com/problems/01-matrix/description/?envType=problem-list-v2&envId=vg00mwqm&,f,,19
179,Maximum Absolute Sum of Any Subarray,https://leetcode.com/problems/maximum-absolute-sum-of-any-subarray/description/,t,,31
112,Rotting Oranges,,f,,19
113,Shortest Path in Binary Matrix,,f,,19
168,Climbing Stairs,https://leetcode.com/problems/climbing-stairs/,t,,30
218,Relative Ranks,,f,,42
219,Kth Largest Element in a Stream,,f,,42
220,K Closest Points to Origin,,f,,42
221,Last Stone Weight,,f,,42
238,Combinations,,f,,46
169,Decode Ways,https://leetcode.com/problems/decode-ways/description/,t,,30
327,Single Number,,f,,70
328,Single Number II,,f,,70
329,Missing Number,,f,,70
1,Container With Most Water,,f,,1
29,Removing Stars From a String,,f,,5
45,Longest Repeating Character Replacement,,f,,9
49,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,,f,,9
68,Binary Tree Zigzag Level Order Traversal,,f,,12
92,All Nodes Distance K in Binary Tree,,f,,15
107,Number of Enclaves,,f,,18
108,Number of Closed Islands,,f,,18
123,Largest Color Value in a Directed Graph,,f,,21
128,Find the City With the Smallest Number of Neighbors at a Threshold Distance,,f,,22
146,Number of Connected Components in an Undirected Graph,,f,,25
164,Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree,,f,,28
200,Count Square Submatrices with All Ones,,f,,37
215,Kth Largest Element in an Array,,f,,42
234,Single-Threaded CPU,,f,,45
235,The Number of the Smallest Unoccupied Chair,,f,,45
236,Meeting Rooms III,,f,,45
232,Furthest Building You Can Reach,,f,,45
250,Check if Word Can Be Placed In Crossword,,f,,50
278,Guess Number Higher or Lower,,f,,59
292,Minimum Number of Days to Make m Bouquets,,f,,61
321,Asteroid Collision,,f,,67
324,Online Stock Span,,f,,68
336,Count Triplets That Can Form Two Arrays of Equal XOR,,f,,72
365,Diagonal Traverse,,f,,81
12,Find the Duplicate Number,,f,,2
10,Linked List Cycle,,f,,2
170,House Robber,http://leetcode.com/problems/house-robber/,t,,30
7,Boats to Save People,,f,,1
8,Squares of a Sorted Array,,f,,1
9,3Sum Smaller,,f,,1
11,Happy Number,,f,,2
13,Is Subsequence,,f,,2
15,Remove Nth Node From End of List,,f,,3
16,Middle of the Linked List,,f,,3
17,Delete the Middle Node of a Linked List,,f,,3
18,Remove Duplicates from Sorted Array,,f,,4
19,Remove Element,,f,,4
378,Find All Duplicates in an Array,,f,,85
392,Find the Index of the First Occurrence in a String,,f,,91
398,Find the Index of the First Occurrence in a String,,f,,92
426,Product of the Last K Numbers,,f,,93
439,Prefix and Suffix Search,,f,,94
20,Sort Colors,,f,,4
21,Remove Duplicates from Sorted Array II,,f,,4
22,Move Zeroes,,f,,4
23,String Compression,,f,,4
24,Sort Array By Parity,,f,,4
25,Move Pieces to Obtain a String,,f,,4
26,Separate Black and White Balls,,f,,4
27,Backspace String Compare,,f,,5
28,Crawler Log Folder,,f,,5
30,Longest Palindromic Substring,,f,,6
31,Palindromic Substrings,,f,,6
32,Reverse Words in a String,,f,,7
33,Reverse String,,f,,7
34,Reverse Vowels of a String,,f,,7
35,Reverse String II,,f,,7
36,Moving Average from Data Stream,,f,,8
37,Maximum Average Subarray I,,f,,8
38,Calculate Compressed Mean,,f,,8
39,Find the Power of K-Size Subarrays I,,f,,8
40,Find X-Sum of All K-Long Subarrays I,,f,,8
41,Longest Substring Without Repeating Characters,,f,,9
42,Minimum Window Substring,,f,,9
43,Minimum Size Subarray Sum,,f,,9
44,Contains Duplicate II,,f,,9
46,Subarray Product Less Than K,,f,,9
47,Fruit Into Baskets,,f,,9
48,Max Consecutive Ones III,,f,,9
50,Longest Subarray of 1's After Deleting One Element,,f,,9
51,Minimum Operations to Reduce X to Zero,,f,,9
52,Frequency of the Most Frequent Element,,f,,9
53,Maximum Sum of Distinct Subarrays With Length K,,f,,9
54,Take K of Each Character From Left and Right,,f,,9
55,Continuous Subarrays,,f,,9
56,Maximum Beauty of an Array After Applying Operation,,f,,9
57,Find Longest Special Substring That Occurs Thrice I,,f,,9
58,Maximum Good Subarray Sum,,f,,9
59,Maximum Frequency of an Element After Performing Operations I,,f,,9
60,Maximum Frequency of an Element After Performing Operations II 2,,f,,9
62,Shortest Subarray with Sum at Least K,,f,,10
63,Jump Game VI,,f,,10
65,Find All Anagrams in a String,,f,,11
66,Permutation in String,,f,,11
67,Binary Tree Level Order Traversal,,f,,12
69,Binary Tree Right Side View,,f,,12
70,Find Largest Value in Each Tree Row,,f,,12
71,Maximum Level Sum of a Binary Tree,,f,,12
72,Same Tree,,f,,13
73,Symmetric Tree,,f,,13
74,Construct Binary Tree from Preorder and Inorder Traversal,,f,,13
75,Flatten Binary Tree to Linked List,,f,,13
76,Invert Binary Tree,,f,,13
77,Binary Tree Paths,,f,,13
78,Smallest String Starting From Leaf,,f,,13
79,Binary Tree Inorder Traversal,,f,,14
80,Validate Binary Search Tree,,f,,14
81,Binary Search Tree Iterator,,f,,14
82,Kth Smallest Element in a BST,,f,,14
83,Find Mode in Binary Search Tree,,f,,14
84,Minimum Absolute Difference in BST,,f,,14
85,Maximum Depth of Binary Tree,,f,,15
86,Balanced Binary Tree,,f,,15
87,Binary Tree Maximum Path Sum,,f,,15
88,Binary Tree Postorder Traversal,,f,,15
89,House Robber III,,f,,15
90,Find Leaves of Binary Tree,,f,,15
91,Diameter of Binary Tree,,f,,15
93,Delete Nodes And Return Forest,,f,,15
94,Height of Binary Tree After Subtree Removal Queries,,f,,15
95,Lowest Common Ancestor of a Binary Search Tree,,f,,16
96,Lowest Common Ancestor of a Binary Tree,,f,,16
97,Serialize and Deserialize Binary Tree,,f,,17
